# WV(Ang)	Flux_Pri	Flux_Sec
5128.61631982	1.05743870	0.70897332
5128.64537023	1.05404745	0.70410820
5128.67442080	1.05908722	0.68476232
5128.70335344	1.07342447	0.66343426
5128.73240434	1.05491688	0.67502632
5128.76145541	1.05590791	0.67256817
5128.79050664	1.05597130	0.66843068
5128.81943994	1.06867654	0.68275645
5128.84849150	1.03894272	0.65484315
5128.87754322	1.03437161	0.68180884
5128.90659511	1.08312012	0.68385257
5128.93552906	1.07409103	0.69102696
5128.96458128	1.09442398	0.68196688
5128.99363366	1.09749813	0.64832641
5129.02268620	1.07523634	0.64559345
5129.05162081	1.05636431	0.70707837
5129.08067369	1.04449127	0.65958640
5129.10972673	1.01887852	0.63316863
5129.13866183	1.00980063	0.69422256
5129.16771519	1.02924764	0.72948977
5129.19676872	1.02782578	0.70141701
5129.22582242	1.02535909	0.69036664
5129.25475817	1.01745731	0.65824287
5129.28381220	1.01861299	0.68057073
5129.31286639	1.06151178	0.69277997
5129.34192074	1.07305491	0.66358180
5129.37085715	1.03544447	0.66987838
5129.39991183	1.03129519	0.72454562
5129.42896668	1.02755917	0.69422188
5129.45802169	1.05138680	0.68784816
5129.48695876	1.05190509	0.69682438
5129.51601410	1.08092444	0.65720974
5129.54506960	1.05973518	0.65639801
5129.57412527	1.06106767	0.64820830
5129.60306299	1.04889712	0.62566880
5129.63211899	1.03424634	0.64073127
5129.66117515	1.04944770	0.66663275
5129.69011336	1.04450565	0.63438457
5129.71916985	1.07635310	0.62308045
5129.74822650	1.05316850	0.65219900
5129.77728332	1.04143292	0.67813397
5129.80622219	1.05973463	0.71779951
5129.83527934	1.02913447	0.72002006
5129.86433665	1.04664568	0.71308949
5129.89339413	1.06959587	0.71265256
5129.92233365	1.03972729	0.71981041
5129.95139145	1.03737266	0.76717886
5129.98044942	1.04380516	0.78802551
5130.00950756	1.05702084	0.75626283
5130.03844773	1.02152799	0.76350968
5130.06750620	1.00826683	0.79334406
5130.09656483	1.02690196	0.77763634
5130.12550549	1.03050167	0.81859271
5130.15456445	1.02427907	0.82535904
5130.18362357	1.00835992	0.79578301
5130.21268286	0.98989416	0.77666724
5130.24162418	1.05703763	0.75270396
5130.27068379	1.05550953	0.77186080
5130.29974357	1.03421399	0.79343746
5130.32880352	1.04714168	0.72055982
5130.35774549	1.06463509	0.74040582
5130.38680576	1.05010783	0.81139069
5130.41586620	1.04989202	0.83048570
5130.44492680	1.09636945	0.81393032
5130.47386944	1.08790665	0.83610609
5130.50293037	1.04987502	0.85791349
5130.53199146	1.05701453	0.86163847
5130.56105272	1.08966956	0.83815431
5130.58999601	1.06884528	0.85773523
5130.61905759	1.04676394	0.86932705
5130.64811935	1.07134349	0.80969188
5130.67706312	1.04625596	0.79673700
5130.70612521	1.04671906	0.80659939
5130.73518745	1.03154221	0.83033384
5130.76424986	1.04516233	0.81667521
5130.79319429	1.08924988	0.80862862
5130.82225703	1.08684605	0.81574081
5130.85131994	1.06120515	0.75850510
5130.88038300	1.08944435	0.78104385
5130.90932809	1.10908422	0.74215546
5130.93839149	1.11277920	0.75906836
5130.96745505	1.08486023	0.78834463
5130.99651878	1.09643771	0.81831624
5131.02546452	1.11056673	0.78317533
5131.05452857	1.09065937	0.81054694
5131.08359279	1.08910274	0.80384854
5131.11265718	1.10975388	0.73925753
5131.14160358	1.09332803	0.78224018
5131.17066829	1.08101614	0.74413877
5131.19973317	1.07360212	0.79637000
5131.22868006	1.09242129	0.74841748
5131.25774526	1.10324708	0.74957138
5131.28681063	1.08686956	0.80453747
5131.31587617	1.07068481	0.81830231
5131.34482371	1.07435160	0.79699672
5131.37388957	1.10457602	0.80618110
5131.40295560	1.10048794	0.79227485
5131.43202179	1.09947942	0.85235991
5131.46097000	1.10162618	0.84224066
5131.49003652	1.11223298	0.82909526
5131.51910320	1.10356127	0.84474561
5131.54817005	1.10222738	0.80924814
5131.57711891	1.10949023	0.82777587
5131.60618609	1.08943345	0.79603095
5131.63525343	1.08677860	0.78843969
5131.66420278	1.10226314	0.81956673
5131.69327045	1.11533499	0.76514662
5131.72233829	1.14491186	0.77609269
5131.75140629	1.16619432	0.75205435
5131.78035629	1.14403019	0.73322733
5131.80942462	1.12299865	0.75388016
5131.83849312	1.14315182	0.79711972
5131.86756178	1.15982075	0.76434292
5131.89651244	1.14411086	0.75020912
5131.92558142	1.14322919	0.68646122
5131.95465058	1.13453445	0.71654858
5131.98371989	1.11087821	0.76886788
5132.01267121	1.14830348	0.71208306
5132.04174085	1.10778587	0.68406605
5132.07081066	1.07850588	0.71138736
5132.09988064	1.06668305	0.65079366
5132.12883261	1.06338006	0.68008095
5132.15790291	1.04493421	0.70124832
5132.18697338	1.03738813	0.69303851
5132.21592584	1.02199198	0.68882973
5132.24499664	1.02117895	0.70684480
5132.27406760	1.01807647	0.68783434
5132.30313873	1.00409104	0.72556815
5132.33209184	1.00395547	0.75884041
5132.36116330	0.99518734	0.73560102
5132.39023492	0.98973784	0.77884537
5132.41930670	1.01114567	0.80184228
5132.44826047	1.02154506	0.78808380
5132.47733259	1.01846561	0.77246410
5132.50640487	1.03883739	0.75760560
5132.53547731	1.02344808	0.74183542
5132.56443173	1.03836965	0.75435920
5132.59350451	1.05658130	0.76569908
5132.62257744	1.05728519	0.73951398
5132.65165054	1.04562769	0.75929124
5132.68060562	1.06966378	0.71590541
5132.70967905	1.07801286	0.65981614
5132.73875265	1.09117856	0.68398880
5132.76770822	1.08290069	0.69099057
5132.79678214	1.09403008	0.65430140
5132.82585623	1.09887339	0.58918199
5132.85493048	1.06897888	0.62567926
5132.88388671	1.08097059	0.60474103
5132.91296129	1.10608958	0.66077871
5132.94203604	1.07977342	0.64393745
5132.97111095	1.06580827	0.65343748
5133.00006783	1.08486389	0.59630295
5133.02914307	1.08552029	0.61822672
5133.05821848	1.08381574	0.68728320
5133.08729404	1.11468798	0.73936929
5133.11625158	1.08222572	0.71737805
5133.14532748	1.10269655	0.71791034
5133.17440354	1.11054124	0.71868202
5133.20336157	1.10188166	0.71449114
5133.23243796	1.10370412	0.74306598
5133.26151452	1.09281160	0.75466490
5133.29059124	1.09367242	0.78447308
5133.31954992	1.08393054	0.84282062
5133.34862697	1.11065493	0.83318002
5133.37770419	1.08852399	0.86020757
5133.40678157	1.09963224	0.87538894
5133.43574091	1.12369595	0.89029249
5133.46481861	1.12674690	0.88644786
5133.49389649	1.10377015	0.94069572
5133.52297452	1.11744809	0.97518850
5133.55193452	1.11115281	0.90563170
5133.58101288	1.08863864	0.91164457
5133.61009141	1.09084744	0.92345732
5133.63917011	1.08193883	0.95070442
5133.66813076	1.07021506	0.94804959
5133.69720978	1.09184048	0.89578927
5133.72628897	1.10920857	0.89311105
5133.75525012	1.09031341	0.91634525
5133.78432963	1.08948978	0.92417533
5133.81340931	1.07510688	0.88841416
5133.84248916	1.06890811	0.92999801
5133.87145096	1.07694287	0.87369343
5133.90053113	1.07594675	0.82447074
5133.92961147	1.10017752	0.86686532
5133.95869198	1.11994666	0.84631712
5133.98765443	1.11493922	0.84993715
5134.01673527	1.10859174	0.88378346
5134.04581626	1.09660160	0.83075921
5134.07489743	1.10435350	0.80042506
5134.10386054	1.08619192	0.85991452
5134.13294203	1.08480000	0.84113011
5134.16202368	1.10480072	0.86181458
5134.19110551	1.10182061	0.87770156
5134.22006927	1.07735622	0.87882038
5134.24915142	1.08634561	0.85672989
5134.27823374	1.07573618	0.84287125
5134.30719799	1.05163657	0.89525899
5134.33628064	1.09458700	0.88835228
5134.36536344	1.11027222	0.86276330
5134.39444642	1.09423792	0.84365632
5134.42341133	1.09529513	0.86365873
5134.45249463	1.13743946	0.85765284
5134.48157810	1.08851183	0.84798643
5134.51066173	1.08472877	0.85778913
5134.53962730	1.12026416	0.84887755
5134.56871126	1.07099819	0.80890303
5134.59779538	1.05050609	0.78562162
5134.62687967	1.06813453	0.79349742
5134.65584590	1.07309897	0.77716770
5134.68493051	1.06051962	0.80439114
5134.71401530	1.03368371	0.80985721
5134.74298201	1.01678444	0.75281623
5134.77206712	1.02428592	0.75617292
5134.80115240	1.02548339	0.73536760
5134.83023784	1.02156125	0.77654638
5134.85920521	0.99528817	0.76657621
5134.88829098	0.99313013	0.77723644
5134.91737692	1.01048803	0.79628329
5134.94646302	0.99810121	0.73492142
5134.97543104	1.02579653	0.71508184
5135.00451747	1.03481371	0.72734961
5135.03360407	1.03916744	0.71562134
5135.06269082	1.03766471	0.67324043
5135.09165951	1.04493229	0.63407730
5135.12074659	1.07387317	0.65820755
5135.14983384	1.08565048	0.66722564
5135.17892126	1.04695810	0.59751458
5135.20789060	1.06539968	0.64685318
5135.23697834	1.05341857	0.63350562
5135.26606625	1.06940934	0.59323987
5135.29503608	1.08142751	0.57324964
5135.32412432	1.06695738	0.60641038
5135.35321273	1.07055326	0.62370026
5135.38230129	1.06256185	0.63042761
5135.41127178	1.04125859	0.62467664
5135.44036068	1.05639197	0.62263916
5135.46944974	1.03617969	0.68646780
5135.49853897	1.03893601	0.69242392
5135.52751011	1.06144615	0.64449723
5135.55659966	1.05151559	0.67738909
5135.58568938	1.01432728	0.69743820
5135.61477927	1.02365163	0.63699368
5135.64375107	1.01353275	0.66335910
5135.67284128	0.98732386	0.71106479
5135.70193166	0.98326727	0.66311617
5135.73102220	1.00319134	0.63385613
5135.75999466	0.99489145	0.66836845
5135.78908553	1.00851690	0.69722083
5135.81817657	1.00032895	0.69082610
5135.84714951	0.97494016	0.67348352
5135.87624088	0.96250136	0.65207902
5135.90533241	0.95636800	0.67443198
5135.93442410	0.96086852	0.63924118
5135.96339770	0.97617384	0.67513019
5135.99248973	0.98685055	0.68167188
5136.02158192	0.98748178	0.66697823
5136.05067427	1.00131983	0.67568907
5136.07964853	1.00264442	0.69100802
5136.10874121	1.00329360	0.69411129
5136.13783406	1.03213137	0.72122792
5136.16692707	1.02604777	0.69309891
5136.19590198	1.02659891	0.72298009
5136.22499532	1.04135416	0.72169105
5136.25408883	1.05348286	0.74334903
5136.28306423	1.09751948	0.78174889
5136.31215807	1.10235618	0.76581012
5136.34125207	1.10302565	0.76992950
5136.37034624	1.09915818	0.82580338
5136.39932229	1.07276041	0.84678320
5136.42841679	1.06984715	0.85120127
5136.45751145	1.09078872	0.81730981
5136.48660627	1.08555976	0.82705322
5136.51558299	1.09842008	0.86128405
5136.54467814	1.12424356	0.85092826
5136.57377346	1.12036348	0.84360339
5136.60286894	1.15327351	0.82074247
5136.63184631	1.12173151	0.77510855
5136.66094212	1.14846046	0.81374804
5136.69003810	1.14105519	0.85838257
5136.71913424	1.12638238	0.85231685
5136.74811226	1.13032658	0.85052529
5136.77720873	1.12268638	0.80200568
5136.80630537	1.11801650	0.81074056
5136.83528389	1.13972621	0.85386607
5136.86438085	1.12633725	0.87332318
5136.89347798	1.11638891	0.89992433
5136.92257527	1.10110654	0.87725723
5136.95155445	1.11475876	0.86627545
5136.98065207	1.15931655	0.85457971
5137.00974985	1.13155066	0.91970852
5137.03884781	1.14785685	0.87671050
5137.06782764	1.17316167	0.77803130
5137.09692592	1.12861469	0.84113776
5137.12602436	1.14325310	0.82996478
5137.15512297	1.17076553	0.79721131
5137.18410346	1.14255023	0.80902484
5137.21320240	1.16248213	0.77003183
5137.24230150	1.17658216	0.77332668
5137.27140077	1.16835682	0.74457886
5137.30038191	1.14562900	0.69045370
5137.32948151	1.17566507	0.75076764
5137.35858128	1.16916306	0.71905485
5137.38756291	1.15917029	0.70491833
5137.41666300	1.15395427	0.67993423
5137.44576326	1.15376449	0.66941378
5137.47486368	1.13931489	0.65653019
5137.50384597	1.15889498	0.63223830
5137.53294672	1.14689382	0.58561429
5137.56204764	1.13889805	0.53907792
5137.59114872	1.12030197	0.56464413
5137.62013166	1.12878857	0.58584549
5137.64923307	1.09680089	0.59044695
5137.67833464	1.08581085	0.60499068
5137.70743638	1.08088049	0.56095516
5137.73641999	1.06295819	0.59438435
5137.76552205	1.03619913	0.62100297
5137.79462429	1.01480617	0.57033316
5137.82360838	0.97670824	0.55995570
5137.85271094	0.95566970	0.61157005
5137.88181367	0.94666005	0.63144577
5137.91091656	0.93336884	0.66182912
5137.93990131	0.88492141	0.66219808
5137.96900453	0.89984310	0.69719583
5137.99810792	0.89683009	0.67146252
5138.02721147	0.89869268	0.67804930
5138.05619687	0.87664098	0.72946046
5138.08530075	0.87179059	0.68061675
5138.11440479	0.87831862	0.67952277
5138.14350900	0.86908366	0.72082972
5138.17249507	0.91222531	0.64780096
5138.20159960	0.91682926	0.67642706
5138.23070431	0.95313794	0.68079759
